Series ID,Year,Period,Label,Value
LASST020000000000003,1976,M09,1976 Sep,7.9
LASST020000000000003,1976,M10,1976 Oct,8.1
LASST020000000000003,1976,M11,1976 Nov,8.4
LASST020000000000003,1976,M12,1976 Dec,8.6
LASST020000000000003,1977,M01,1977 Jan,8.9
LASST020000000000003,1977,M02,1977 Feb,9.2
LASST020000000000003,1977,M03,1977 Mar,9.4
LASST020000000000003,1977,M04,1977 Apr,9.6
LASST020000000000003,1977,M05,1977 May,9.8
LASST020000000000003,1977,M06,1977 Jun,9.9
LASST020000000000003,1977,M07,1977 Jul,10.0
LASST020000000000003,1977,M08,1977 Aug,10.0
LASST020000000000003,1977,M09,1977 Sep,10.1
